Username,Url,Datetime,Rule,Lobby,Stage,Win,X Power,Time,Game Version,Stats,A1 Main Weapon,A1 Sub Weapon,A1 Special Weapon,A1 Inked,A1 Kill & Assist,A1 Kill,A1 Assist,A1 Death,A1 Specials,A2 Main Weapon,A2 Sub Weapon,A2 Special Weapon,A2 Inked,A2 Kill & Assist,A2 Kill,A2 Assist,A2 Death,A2 Specials,A3 Main Weapon,A3 Sub Weapon,A3 Special Weapon,A3 Inked,A3 Kill & Assist,A3 Kill,A3 Assist,A3 Death,A3 Specials,A4 Main Weapon,A4 Sub Weapon,A4 Special Weapon,A4 Inked,A4 Kill & Assist,A4 Kill,A4 Assist,A4 Death,A4 Specials,B1 Main Weapon,B1 Sub Weapon,B1 Special Weapon,B1 Inked,B1 Kill & Assist,B1 Kill,B1 Assist,B1 Death,B1 Specials,B2 Main Weapon,B2 Sub Weapon,B2 Special Weapon,B2 Inked,B2 Kill & Assist,B2 Kill,B2 Assist,B2 Death,B2 Specials,B3 Main Weapon,B3 Sub Weapon,B3 Special Weapon,B3 Inked,B3 Kill & Assist,B3 Kill,B3 Assist,B3 Death,B3 Specials,B4 Main Weapon,B4 Sub Weapon,B4 Special Weapon,B4 Inked,B4 Kill & Assist,B4 Kill,B4 Assist,B4 Death,B4 Specials
obatyan789,https://stat.ink/@obatyan789/spl3/1f844d9b-4fcc-4c83-b4e0-d8c1739dbd4c,2022-12-07 20:28:26+09:00,asari,xmatch,amabi,alpha,1762.6,300,v2.0.0,allow,momiji,torpedo,hopsonar,1445,10,5,5,1,6,splatroller,curlingbomb,greatbarrier,828,19,19,0,7,1,screwslosher,tansanbomb,nicedama,1032,15,11,4,5,2,hydra,robotbomb,nicedama,1062,7,5,2,6,3,carbon_deco,quickbomb,ultrashot,1020,9,7,2,9,3,barrelspinner,sprinkler,hopsonar,1542,5,4,1,7,5,52gal,splashshield,megaphone51,822,2,2,0,10,1,hissen,poisonmist,jetpack,762,6,6,0,14,0
XenonAbe,https://stat.ink/@XenonAbe/spl3/9ad42033-d492-4413-9841-2365e8da2bef,2022-12-07 20:27:59+09:00,asari,xmatch,amabi,bravo,1878.7,300,v2.0.0,allow,variableroller,trap,missile,1429,8,7,1,5,5,momiji,torpedo,hopsonar,1588,11,7,4,5,8,sputtery_hue,torpedo,sameride,715,3,2,1,9,2,splatroller,curlingbomb,greatbarrier,984,6,6,0,8,3,momiji,torpedo,hopsonar,1357,11,7,4,4,6,splatroller,curlingbomb,greatbarrier,749,9,8,1,8,2,variableroller,trap,missile,1698,8,7,1,4,5,sputtery_hue,torpedo,sameride,992,7,5,2,6,3
kuromorin,https://stat.ink/@kuromorin/spl3/60370b96-09a0-482d-9d2b-fb32e5c953a6,2022-12-07 20:27:53+09:00,asari,xmatch,amabi,bravo,2003.7,320,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,1678,12,10,2,6,5,rapid,trap,tripletornado,1091,9,7,2,8,2,prime_collabo,kyubanbomb,nicedama,1565,9,9,0,6,5,liter4k,trap,hopsonar,706,4,3,1,5,2,wakaba,splashbomb,greatbarrier,1333,10,10,0,11,5,furo,sprinkler,amefurashi,2023,9,6,3,7,6,splatcharger,splashbomb,kyuinki,573,4,3,1,6,1,dualsweeper,splashbomb,hopsonar,1122,7,6,1,5,2
Mixaz,https://stat.ink/@Mixaz/spl3/77d515dd-881b-40c1-a857-bba000c633fc,2022-12-07 20:25:55+09:00,asari,xmatch,hirame,alpha,,301,v2.0.0,allow,kugelschreiber,tansanbomb,jetpack,980,8,4,4,6,2,jimuwiper,quickbomb,shokuwander,1185,16,12,4,6,0,sharp,quickbomb,kanitank,810,9,5,4,8,3,heroshooter_replica,kyubanbomb,ultrashot,1033,14,14,0,10,4,hydra,robotbomb,nicedama,716,6,4,2,8,1,jimuwiper,quickbomb,shokuwander,801,13,13,0,9,1,wakaba,splashbomb,greatbarrier,1339,6,5,1,8,3,quadhopper_black,robotbomb,sameride,948,10,8,2,10,1
tei12taroo,https://stat.ink/@tei12taroo/spl3/7598b260-f014-4527-a7ec-d59941856399,2022-12-07 20:24:54+09:00,asari,xmatch,amabi,bravo,2481.9,300,v2.0.0,allow,sharp,quickbomb,kanitank,1307,7,6,1,7,4,sharp,quickbomb,kanitank,1144,10,9,1,10,2,sshooter,kyubanbomb,ultrashot,1341,4,3,1,6,3,hokusai,kyubanbomb,shokuwander,1046,7,6,1,7,4,carbon_deco,quickbomb,ultrashot,1053,19,17,2,7,3,sharp,quickbomb,kanitank,1798,10,7,3,4,7,sharp,quickbomb,kanitank,1279,4,1,3,7,3,sharp,quickbomb,kanitank,1033,10,5,5,6,3
ucq,https://stat.ink/@ucq/spl3/56f190a6-386b-4d4d-ba1f-3abd60e19e49,2022-12-07 20:24:42+09:00,asari,xmatch,amabi,bravo,,300,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,1105,4,3,1,5,2,splatroller,curlingbomb,greatbarrier,983,12,10,2,8,3,sshooter_collabo,splashbomb,tripletornado,989,11,7,4,8,2,kelvin525,splashshield,nicedama,1026,8,7,1,7,3,prime_collabo,kyubanbomb,nicedama,1053,11,9,2,8,3,sshooter,kyubanbomb,ultrashot,1284,10,7,3,7,4,pablo_hue,trap,ultrahanko,830,9,8,1,8,1,tristringer,poisonmist,megaphone51,926,5,3,2,4,3
suvichan,https://stat.ink/@suvichan/spl3/49f9dacb-ae2a-47e0-abbf-c0ddf0702b82,2022-12-07 20:24:33+09:00,asari,xmatch,amabi,alpha,2555.3,302,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1137,7,4,3,8,3,rapid,trap,tripletornado,1392,10,7,3,5,5,screwslosher,tansanbomb,nicedama,1386,10,9,1,8,3,momiji,torpedo,hopsonar,1519,7,4,3,6,7,screwslosher,tansanbomb,nicedama,1366,11,10,1,7,5,longblaster,kyubanbomb,hopsonar,1090,12,9,3,6,5,prime_collabo,kyubanbomb,nicedama,986,7,2,5,7,3,sharp,quickbomb,kanitank,1832,9,6,3,5,7
shige_tairi,https://stat.ink/@shige_tairi/spl3/ef411053-3092-4a23-96be-dabe79199bd6,2022-12-07 20:24:16+09:00,asari,xmatch,amabi,bravo,,320,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1024,6,3,3,7,2,barrelspinner,sprinkler,hopsonar,1153,8,7,1,5,4,bold,curlingbomb,ultrahanko,1054,8,8,0,6,4,sshooter_collabo,splashbomb,tripletornado,1517,4,4,0,5,6,barrelspinner,sprinkler,hopsonar,1473,11,9,2,2,4,sharp,quickbomb,kanitank,1102,6,4,2,7,4,quadhopper_black,robotbomb,sameride,1165,10,7,3,8,4,bottlegeyser,splashshield,ultrashot,894,6,3,3,5,3
royxiang,https://stat.ink/@royxiang/spl3/e4a9885f-ae1c-4cb1-8064-064287a5ef64,2022-12-07 20:24:15+09:00,asari,xmatch,amabi,alpha,2244.4,256,v2.0.0,allow,bold,curlingbomb,ultrahanko,1080,11,7,4,9,2,bottlegeyser,splashshield,ultrashot,907,18,12,6,6,3,hokusai,kyubanbomb,shokuwander,904,10,9,1,8,1,sharp,quickbomb,kanitank,869,13,10,3,7,2,wakaba,splashbomb,greatbarrier,1125,12,6,6,7,3,sshooter,kyubanbomb,ultrashot,860,10,8,2,10,1,carbon_deco,quickbomb,ultrashot,771,11,9,2,11,1,96gal,sprinkler,kyuinki,901,10,7,3,10,1
Nyarukore,https://stat.ink/@Nyarukore/spl3/b590e7e1-fcac-44cb-ab32-23f4623ebc2b,2022-12-07 20:22:58+09:00,asari,xmatch,amabi,alpha,,300,v2.0.0,allow,momiji,torpedo,hopsonar,1520,13,10,3,5,6,prime_collabo,kyubanbomb,nicedama,1046,16,14,2,6,2,splatroller,curlingbomb,greatbarrier,977,7,4,3,5,3,carbon_deco,quickbomb,ultrashot,762,7,7,0,7,1,carbon_deco,quickbomb,ultrashot,938,8,7,1,10,4,h3reelgun,pointsensor,energystand,1279,7,5,2,6,6,52gal,splashshield,megaphone51,1153,7,5,2,6,5,hokusai,kyubanbomb,shokuwander,892,7,6,1,13,0
lentan,https://stat.ink/@lentan/spl3/2b003e53-9cba-4683-9ee0-f617ce07a4e5,2022-12-07 20:22:52+09:00,asari,xmatch,hirame,alpha,2235.8,320,v2.0.0,allow,liter4k,trap,hopsonar,933,5,2,3,3,2,sshooter,kyubanbomb,ultrashot,1170,10,9,1,11,3,splatspinner_collabo,poisonmist,greatbarrier,1410,5,5,0,6,3,wakaba,splashbomb,greatbarrier,1263,8,6,2,5,3,nautilus47,pointsensor,amefurashi,1233,11,8,3,4,5,sshooter_collabo,splashbomb,tripletornado,1345,11,8,3,9,4,splatcharger,splashbomb,kyuinki,868,5,5,0,5,3,52gal,splashshield,megaphone51,1221,4,4,0,4,5
obatyan789,https://stat.ink/@obatyan789/spl3/817b6f6d-32e5-4d95-98ac-d175af83eff9,2022-12-07 20:21:39+09:00,asari,xmatch,amabi,alpha,1762.6,300,v2.0.0,allow,momiji,torpedo,hopsonar,1431,6,4,2,2,7,dualsweeper,splashbomb,hopsonar,1295,6,1,5,3,3,barrelspinner,sprinkler,hopsonar,1466,5,3,2,2,7,52gal,splashshield,megaphone51,1049,5,5,0,5,3,wakaba,splashbomb,greatbarrier,1364,10,8,2,1,4,dualsweeper,splashbomb,hopsonar,1450,5,2,3,3,6,nzap85,kyubanbomb,energystand,1218,2,1,1,5,3,hydra,robotbomb,nicedama,1282,4,1,3,4,5
Mixaz,https://stat.ink/@Mixaz/spl3/8350d4b3-f04f-467b-9ac4-ceae768c9690,2022-12-07 20:19:34+09:00,asari,xmatch,hirame,bravo,,315,v2.0.0,allow,kugelschreiber,tansanbomb,jetpack,1144,7,5,2,5,4,sshooter_collabo,splashbomb,tripletornado,1244,12,11,1,7,4,momiji,torpedo,hopsonar,1367,9,4,5,3,6,carbon_deco,quickbomb,ultrashot,572,5,4,1,5,1,splatroller,curlingbomb,greatbarrier,830,9,6,3,5,1,promodeler_rg,sprinkler,nicedama,1846,7,6,1,8,5,momiji,torpedo,hopsonar,968,5,4,1,7,4,hydra,robotbomb,nicedama,913,5,4,1,4,2
gyara,https://stat.ink/@gyara/spl3/2bc1dcbb-5311-4919-9701-ebfb37e82ff6,2022-12-07 20:19:18+09:00,asari,xmatch,amabi,alpha,2126.5,319,v2.0.0,allow,sputtery_hue,torpedo,sameride,1216,12,9,3,11,4,sharp,quickbomb,kanitank,1215,14,8,6,6,2,pablo,splashbomb,megaphone51,1548,14,11,3,11,4,52gal,splashshield,megaphone51,1353,5,4,1,5,4,heroshooter_replica,kyubanbomb,ultrashot,1590,12,9,3,4,6,sputtery_hue,torpedo,sameride,1124,16,13,3,11,4,bold,curlingbomb,ultrahanko,1068,10,7,3,11,5,pablo,splashbomb,megaphone51,1300,9,4,5,6,6
tei12taroo,https://stat.ink/@tei12taroo/spl3/868b3d12-56a4-4a54-945c-29854de7cb83,2022-12-07 20:18:33+09:00,asari,xmatch,hirame,alpha,2481.9,320,v2.0.0,allow,sharp,quickbomb,kanitank,1247,12,9,3,7,4,carbon_deco,quickbomb,ultrashot,900,13,10,3,7,2,sshooter,kyubanbomb,ultrashot,1002,12,11,1,9,3,squiclean_a,pointsensor,greatbarrier,907,7,5,2,6,1,squiclean_a,pointsensor,greatbarrier,933,13,10,3,4,3,sputtery_hue,torpedo,sameride,776,12,5,7,13,1,splatroller,curlingbomb,greatbarrier,907,11,9,2,6,3,sharp,quickbomb,kanitank,1155,11,5,6,12,3
ucq,https://stat.ink/@ucq/spl3/b8d7db42-5958-4a37-a2c6-5a0716bb8542,2022-12-07 20:18:25+09:00,asari,xmatch,hirame,alpha,,320,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,689,6,4,2,5,1,nova,splashbomb,shokuwander,945,16,13,3,5,2,splatroller,curlingbomb,greatbarrier,1116,15,12,3,7,3,splatroller,curlingbomb,greatbarrier,927,10,9,1,6,1,tristringer,poisonmist,megaphone51,880,11,6,5,5,2,splatroller,curlingbomb,greatbarrier,829,9,8,1,12,2,pablo_hue,trap,ultrahanko,975,7,4,3,10,4,hotblaster,robotbomb,greatbarrier,748,8,5,3,11,1
royxiang,https://stat.ink/@royxiang/spl3/fd48f5cd-1e89-4d76-9949-f10b4d4245fb,2022-12-07 20:18:22+09:00,asari,xmatch,amabi,bravo,2244.4,305,v2.0.0,allow,bold,curlingbomb,ultrahanko,1083,11,10,1,11,4,sshooter,kyubanbomb,ultrashot,1503,11,9,2,5,7,wakaba,splashbomb,greatbarrier,1351,7,3,4,6,5,screwslosher,tansanbomb,nicedama,1304,4,3,1,7,4,clashblaster,splashbomb,ultrashot,876,12,6,6,6,2,momiji,torpedo,hopsonar,1512,12,9,3,7,5,52gal,splashshield,megaphone51,1166,7,7,0,8,3,sshooter_collabo,splashbomb,tripletornado,1751,11,7,4,4,6
suvichan,https://stat.ink/@suvichan/spl3/24c5ac54-ed47-43d5-b953-716d886ad287,2022-12-07 20:18:13+09:00,asari,xmatch,amabi,bravo,2555.3,317,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1310,12,5,7,5,5,sharp,quickbomb,kanitank,1509,17,10,7,5,5,sharp,quickbomb,kanitank,1424,17,11,6,7,6,sshooter_collabo,splashbomb,tripletornado,1458,7,5,2,8,5,sshooter_collabo,splashbomb,tripletornado,1627,12,11,1,9,4,sharp,quickbomb,kanitank,1538,7,5,2,6,4,bottlegeyser,splashshield,ultrashot,1029,7,4,3,7,3,sharp,quickbomb,kanitank,1463,11,5,6,9,3
kuromorin,https://stat.ink/@kuromorin/spl3/8e06fb89-bd0a-4b07-93ce-9f7a7f330d45,2022-12-07 20:17:06+09:00,asari,xmatch,hirame,bravo,2003.7,316,v2.0.0,allow,rapid,trap,tripletornado,1088,10,4,6,7,4,sshooter,kyubanbomb,ultrashot,1054,17,13,4,10,3,carbon_deco,quickbomb,ultrashot,790,13,13,0,11,0,maneuver,kyubanbomb,kanitank,1009,14,9,5,8,2,sshooter,kyubanbomb,ultrashot,1406,12,9,3,5,3,sputtery,jumpbeacon,energystand,939,13,13,0,15,1,carbon_deco,quickbomb,ultrashot,897,12,9,3,10,1,longblaster,kyubanbomb,hopsonar,684,6,5,1,9,1
Nyarukore,https://stat.ink/@Nyarukore/spl3/5306f864-9f3b-4c09-9bb6-419c179664c8,2022-12-07 20:16:44+09:00,asari,xmatch,amabi,alpha,,306,v2.0.0,allow,momiji,torpedo,hopsonar,1318,6,5,1,4,6,dualsweeper,splashbomb,hopsonar,1139,10,5,5,8,4,splatroller,curlingbomb,greatbarrier,1121,8,8,0,7,2,sshooter_collabo,splashbomb,tripletornado,1239,9,6,3,2,6,pablo,splashbomb,megaphone51,1051,11,10,1,7,4,nautilus47,pointsensor,amefurashi,1192,7,4,3,4,4,52gal,splashshield,megaphone51,1094,5,4,1,7,5,wakaba,splashbomb,greatbarrier,1303,4,3,1,6,2
lentan,https://stat.ink/@lentan/spl3/0ac2cd94-2372-4ed0-bf9f-81e77ad92bbd,2022-12-07 20:16:21+09:00,asari,xmatch,amabi,alpha,2235.8,311,v2.0.0,allow,liter4k,trap,hopsonar,1008,9,7,2,6,3,screwslosher,tansanbomb,nicedama,1223,16,11,5,7,3,kelvin525,splashshield,nicedama,697,11,10,1,8,2,promodeler_mg,tansanbomb,sameride,1313,7,5,2,9,2,dualsweeper,splashbomb,hopsonar,1051,8,3,5,6,3,hissen,poisonmist,jetpack,1024,13,12,1,9,2,liter4k,trap,hopsonar,979,9,8,1,7,2,52gal,splashshield,megaphone51,955,9,7,2,11,2
yowa,https://stat.ink/@yowa/spl3/640142c2-d260-4230-92a1-b5fba0cadb3a,2022-12-07 20:16:20+09:00,asari,xmatch,amabi,alpha,1986.7,320,v2.0.0,allow,rapid,trap,tripletornado,1181,7,4,3,5,3,spygadget,trap,sameride,1655,13,6,7,3,5,momiji,torpedo,hopsonar,1094,9,6,3,7,4,maneuver,kyubanbomb,kanitank,1248,12,11,1,7,3,sshooter_collabo,splashbomb,tripletornado,1100,13,11,2,8,2,explosher,pointsensor,amefurashi,1844,9,4,5,5,5,momiji,torpedo,hopsonar,1363,4,2,2,5,6,carbon_deco,quickbomb,ultrashot,985,7,5,2,9,3
obatyan789,https://stat.ink/@obatyan789/spl3/2664aca0-3827-4858-963e-1754550b40ff,2022-12-07 20:15:09+09:00,asari,xmatch,hirame,bravo,1762.6,315,v2.0.0,allow,momiji,torpedo,hopsonar,1317,9,3,6,4,7,variableroller,trap,missile,1152,10,10,0,4,4,l3reelgun,curlingbomb,kanitank,1151,4,2,2,9,4,sharp,quickbomb,kanitank,1051,7,5,2,6,3,heroshooter_replica,kyubanbomb,ultrashot,1186,12,8,4,6,3,momiji,torpedo,hopsonar,1312,10,1,9,3,5,wakaba,splashbomb,greatbarrier,1118,9,7,2,4,3,jimuwiper,quickbomb,shokuwander,1020,7,7,0,7,3
Mixaz,https://stat.ink/@Mixaz/spl3/7a6935fb-6c7f-4ee3-8459-48d0d07c14a3,2022-12-07 20:13:00+09:00,asari,xmatch,hirame,alpha,,320,v2.0.0,allow,kugelschreiber,tansanbomb,jetpack,1125,10,8,2,7,1,hokusai,kyubanbomb,shokuwander,1401,10,9,1,6,4,sharp,quickbomb,kanitank,1052,13,7,6,6,2,splatroller,curlingbomb,greatbarrier,676,10,9,1,7,1,momiji,torpedo,hopsonar,1435,13,7,6,7,7,carbon_deco,quickbomb,ultrashot,716,10,10,0,11,1,drivewiper,torpedo,ultrahanko,1042,6,4,2,7,4,kugelschreiber,tansanbomb,jetpack,1077,6,5,1,8,2
gyara,https://stat.ink/@gyara/spl3/8cb2a928-5b3f-402a-8dd5-0ab4b98704a1,2022-12-07 20:12:06+09:00,asari,xmatch,hirame,alpha,2126.5,300,v2.0.0,allow,sputtery_hue,torpedo,sameride,989,7,4,3,8,3,hokusai,kyubanbomb,shokuwander,901,13,9,4,5,0,prime_collabo,kyubanbomb,nicedama,1031,9,8,1,7,3,sharp,quickbomb,kanitank,970,4,3,1,7,3,splatspinner_collabo,poisonmist,greatbarrier,911,13,12,1,5,3,sshooter,kyubanbomb,ultrashot,1072,11,6,5,6,3,pablo,splashbomb,megaphone51,906,6,5,1,5,4,sharp,quickbomb,kanitank,1027,7,4,3,8,3
tei12taroo,https://stat.ink/@tei12taroo/spl3/a9f584fc-92e2-42a1-9f46-184349f02bbd,2022-12-07 20:11:54+09:00,asari,xmatch,amabi,bravo,2516.4,315,v2.0.0,allow,sharp,quickbomb,kanitank,1451,14,12,2,5,4,campingshelter,jumpbeacon,kyuinki,1083,7,2,5,9,5,screwslosher,tansanbomb,nicedama,1271,8,6,2,11,2,barrelspinner,sprinkler,hopsonar,1387,4,3,1,4,5,sharp,quickbomb,kanitank,1538,9,6,3,7,6,campingshelter,jumpbeacon,kyuinki,1149,8,4,4,6,3,hydra,robotbomb,nicedama,1292,13,11,2,5,5,nova_neo,tansanbomb,ultrahanko,1114,9,8,1,5,4
royxiang,https://stat.ink/@royxiang/spl3/af3665fd-93c1-4d7c-8bad-02e31bfca9a3,2022-12-07 20:11:36+09:00,asari,xmatch,hirame,bravo,2285.1,320,v2.0.0,allow,bold,curlingbomb,ultrahanko,987,7,5,2,8,4,sharp,quickbomb,kanitank,1137,11,8,3,8,3,splatroller,curlingbomb,greatbarrier,878,12,11,1,6,3,prime_collabo,kyubanbomb,nicedama,804,10,6,4,6,2,momiji,torpedo,hopsonar,1447,12,7,5,8,5,carbon_deco,quickbomb,ultrashot,513,9,8,1,3,2,sharp,quickbomb,kanitank,879,10,7,3,9,1,kelvin525,splashshield,nicedama,945,10,6,4,10,2
suvichan,https://stat.ink/@suvichan/spl3/ef9a1c4b-8774-4bea-ac3e-14931364665d,2022-12-07 20:11:24+09:00,asari,xmatch,amabi,alpha,2532.8,306,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1321,3,1,2,3,6,nova_neo,tansanbomb,ultrahanko,1265,11,9,2,6,4,sshooter,kyubanbomb,ultrashot,1297,9,9,0,6,4,sharp,quickbomb,kanitank,1122,7,6,1,6,3,bottlegeyser,splashshield,ultrashot,861,8,5,3,5,3,screwslosher,tansanbomb,nicedama,1387,7,6,1,7,3,sshooter_collabo,splashbomb,tripletornado,1284,7,6,1,7,3,sharp,quickbomb,kanitank,1488,5,4,1,6,6
lentan,https://stat.ink/@lentan/spl3/e0c5c015-8dbf-439b-8138-0cc50a7fa7b3,2022-12-07 20:09:51+09:00,asari,xmatch,hirame,bravo,2235.8,305,v2.0.0,allow,liter4k,trap,hopsonar,730,3,2,1,8,2,hissen,poisonmist,jetpack,1017,16,16,0,8,1,hotblaster,robotbomb,greatbarrier,622,5,2,3,7,1,heroshooter_replica,kyubanbomb,ultrashot,944,3,1,2,6,5,nova_neo,tansanbomb,ultrahanko,811,13,12,1,3,1,sharp,quickbomb,kanitank,1080,9,7,2,4,3,liter4k,trap,hopsonar,785,2,1,1,4,1,hotblaster,robotbomb,greatbarrier,615,10,9,1,11,0
Nyarukore,https://stat.ink/@Nyarukore/spl3/127b1e9b-874e-4f2f-b333-5bdc3a25bcb9,2022-12-07 20:09:21+09:00,asari,xmatch,amabi,alpha,,313,v2.0.0,allow,momiji,torpedo,hopsonar,1240,13,10,3,7,5,momiji,torpedo,hopsonar,1465,5,2,3,6,5,bottlegeyser,splashshield,ultrashot,1047,14,12,2,8,3,sshooter,kyubanbomb,ultrashot,1039,9,5,4,6,5,sharp,quickbomb,kanitank,1385,18,14,4,7,3,momiji,torpedo,hopsonar,1462,8,3,5,6,5,prime_collabo,kyubanbomb,nicedama,865,9,7,2,8,2,wakaba,splashbomb,greatbarrier,1088,5,3,2,8,2
gyara,https://stat.ink/@gyara/spl3/d196ccc2-046b-4c51-a5ae-b712441c07bf,2022-12-07 20:05:02+09:00,asari,xmatch,amabi,bravo,2126.5,318,v2.0.0,allow,sputtery_hue,torpedo,sameride,1020,10,6,4,12,3,nova,splashbomb,shokuwander,926,13,10,3,8,1,sharp,quickbomb,kanitank,1252,6,5,1,10,3,parashelter,sprinkler,tripletornado,929,8,5,3,9,2,maneuver,kyubanbomb,kanitank,1306,16,11,5,7,3,splatroller,curlingbomb,greatbarrier,967,10,10,0,7,2,nova_neo,tansanbomb,ultrahanko,823,16,14,2,6,2,sharp,quickbomb,kanitank,1250,9,4,5,6,3
suvichan,https://stat.ink/@suvichan/spl3/34d91ebe-da59-4748-9dc2-5385dfc949e0,2022-12-07 20:04:46+09:00,asari,xmatch,amabi,alpha,2532.8,325,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1611,14,10,4,4,7,sharp,quickbomb,kanitank,1411,20,14,6,6,4,bottlegeyser,splashshield,ultrashot,1032,14,10,4,8,3,quadhopper_black,robotbomb,sameride,1127,12,8,4,14,1,kelvin525,splashshield,nicedama,950,12,11,1,10,2,promodeler_rg,sprinkler,nicedama,2078,11,6,5,10,6,prime_collabo,kyubanbomb,nicedama,1058,11,9,2,11,1,sharp,quickbomb,kanitank,1236,9,6,3,11,2
royxiang,https://stat.ink/@royxiang/spl3/c96fd4dd-7a08-416a-b822-4c7ce44277af,2022-12-07 20:04:38+09:00,asari,xmatch,hirame,bravo,2285.1,390,v2.0.0,allow,bold,curlingbomb,ultrahanko,1187,12,11,1,12,3,screwslosher,tansanbomb,nicedama,1453,12,11,1,7,4,96gal,sprinkler,kyuinki,1340,11,8,3,13,0,splatroller,curlingbomb,greatbarrier,787,10,10,0,12,1,sshooter,kyubanbomb,ultrashot,1484,16,14,2,10,4,jetsweeper,linemarker,kyuinki,1261,13,8,5,9,0,carbon_deco,quickbomb,ultrashot,906,14,10,4,11,2,nova_neo,tansanbomb,ultrahanko,1046,13,12,1,10,1
tei12taroo,https://stat.ink/@tei12taroo/spl3/7ba9975e-985a-47fd-bed0-6f72c8dda41f,2022-12-07 20:03:53+09:00,asari,xmatch,amabi,bravo,2516.4,314,v2.0.0,allow,sharp,quickbomb,kanitank,1353,13,10,3,7,2,rapid,trap,tripletornado,1273,14,7,7,5,4,carbon_deco,quickbomb,ultrashot,1220,13,11,2,7,3,liter4k,trap,hopsonar,882,4,2,2,7,2,hokusai,kyubanbomb,shokuwander,1222,9,8,1,10,2,sshooter_collabo,splashbomb,tripletornado,1540,8,6,2,8,5,longblaster,kyubanbomb,hopsonar,984,7,5,2,8,3,liter4k,trap,hopsonar,1207,8,7,1,4,4
lentan,https://stat.ink/@lentan/spl3/2bff467c-9ef8-48af-8de2-feaef0379afa,2022-12-07 20:03:30+09:00,asari,xmatch,amabi,alpha,2235.8,320,v2.0.0,allow,liter4k,trap,hopsonar,1049,9,5,4,3,3,dualsweeper,splashbomb,hopsonar,1081,14,10,4,7,3,pablo,splashbomb,megaphone51,1420,6,5,1,8,6,variableroller,trap,missile,1234,10,9,1,10,3,splatroller,curlingbomb,greatbarrier,1191,13,11,2,9,4,liter4k,trap,hopsonar,1014,9,7,2,6,4,prime_collabo,kyubanbomb,nicedama,1407,7,5,2,6,5,jimuwiper,quickbomb,shokuwander,1103,7,5,2,8,4
Nyarukore,https://stat.ink/@Nyarukore/spl3/eedc3c70-333e-4e7b-aa43-60fa0aa3c035,2022-12-07 20:02:22+09:00,asari,xmatch,hirame,bravo,,316,v2.0.0,allow,momiji,torpedo,hopsonar,1443,15,6,9,5,7,52gal,splashshield,megaphone51,669,12,11,1,12,3,liter4k,trap,hopsonar,810,8,6,2,7,3,carbon_deco,quickbomb,ultrashot,636,6,5,1,14,0,hokusai,kyubanbomb,shokuwander,827,15,12,3,5,1,sshooter,kyubanbomb,ultrashot,971,15,13,2,6,4,sputtery_hue,torpedo,sameride,1014,7,6,1,9,4,splatcharger,splashbomb,kyuinki,709,9,7,2,8,1
suvichan,https://stat.ink/@suvichan/spl3/1ed13e80-d73e-4468-b6ab-5b18cc5919be,2022-12-07 19:57:43+09:00,asari,xmatch,hirame,alpha,2532.8,304,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1120,6,3,3,6,4,dynamo,sprinkler,energystand,1132,11,10,1,3,4,sharp,quickbomb,kanitank,1177,9,3,6,3,4,splatroller,curlingbomb,greatbarrier,754,10,10,0,10,2,splatroller,curlingbomb,greatbarrier,694,11,7,4,11,2,sharp,quickbomb,kanitank,1160,7,4,3,7,5,prime_collabo,kyubanbomb,nicedama,1134,6,4,2,1,5,jimuwiper,quickbomb,shokuwander,1050,8,7,1,7,5
tei12taroo,https://stat.ink/@tei12taroo/spl3/21810dae-f4eb-4ef8-a127-57f942694ca9,2022-12-07 19:57:15+09:00,asari,xmatch,amabi,bravo,2516.4,329,v2.0.0,allow,sharp,quickbomb,kanitank,1553,10,10,0,6,4,lact450,curlingbomb,missile,1810,1,0,1,7,6,prime_collabo,kyubanbomb,nicedama,958,5,0,5,8,2,quadhopper_black,robotbomb,sameride,749,7,6,1,11,1,prime_collabo,kyubanbomb,nicedama,1478,17,13,4,3,4,sharp,quickbomb,kanitank,1397,12,7,5,5,5,52gal,splashshield,megaphone51,1061,3,2,1,3,4,nautilus47,pointsensor,amefurashi,1046,12,10,2,5,3
mkb_rev2,https://stat.ink/@mkb_rev2/spl3/8db5443e-fa4c-466e-bf70-c15fa1d12777,2022-12-07 19:56:33+09:00,asari,xmatch,amabi,bravo,,318,v2.0.0,allow,wakaba,splashbomb,greatbarrier,1088,6,5,1,10,2,jimuwiper,quickbomb,shokuwander,1542,14,13,1,5,1,screwslosher,tansanbomb,nicedama,1621,8,5,3,5,5,dynamo,sprinkler,energystand,1451,4,1,3,7,5,prime_collabo,kyubanbomb,nicedama,1552,13,11,2,5,4,nautilus47,pointsensor,amefurashi,1372,7,4,3,7,5,screwslosher,tansanbomb,nicedama,1521,12,8,4,7,5,sharp,quickbomb,kanitank,1282,7,4,3,5,5
